title;genres;bpm;length;gain;rank;publicationDate;genres_1;genres_2;genres_3;genres_4;genres_5;genres_6;genres_7;key;year
Paranoid;Contemporary R&B;97.5;216;-8.6;731537;10-09-2013;Hip hop music;;;;;;;;2013
Antisocial;Hard rock;182;309;-10.4;739166;11-06-2007;;;;;;;;;2007
Spandau Ballet:True;Smooth jazz;97;344;-12.8;740458;15-05-2000;New wave music;Synthpop;Blue-eyed soul;;;;;Gmaj;2000
I Don't Mind;Hip hop music;113;251;-10.2;751090;19-11-2014;Contemporary R&B;Electro (music);;;;;;;2014
Sun;Indie pop;97;187;-8.7;759131;01-03-2014;Dance-punk;;;;;;;;2014
Pride (In The Name Of Love);Rock music;209;230;-9.1;763803;25-03-2009;Post-punk;;;;;;;;2009
Beautiful Day;Rock music;136;245;-9.8;769863;23-11-2007;;;;;;;;;2007
Island In The Sun;Alternative rock;114;199;-9.4;772091;14-07-2009;Power pop;;;;;;;;2009
A-Punk;Surf music;175.2;137;-7;773432;27-01-2008;Indie pop;;;;;;;Amaj;2008
Rack City;Hyphy;98;208;-11.1;788793;06-12-2011;West Coast hip hop;;;;;;;;2011
U Remind Me;Contemporary R&B;94;266;-10.3;789228;28-05-2004;;;;;;;;;2004
Baby Can I Hold You;Folk music;147;193;-15.5;790073;22-08-2005;Pop music;;;;;;;Dmaj;2005
One;Soul music;181;277;-10.6;798083;31-10-2002;Rock music;Downtempo;;;;;;;2002
DJ Got Us Fallin' In Love;Electronic dance music;119;222;-6.7;801185;13-07-2010;Europop;;;;;;;;2010
My Boo;Contemporary R&B;86;223;-11.6;814444;07-11-2005;Soul music;;;;;;;;2005
Habits (Stay High);Pop music;110;209;-7;825506;18-02-2015;Electropop;;;;;;;;2015
Hookah;Hip hop music;95;202;-8.8;827492;20-01-2015;;;;;;;;;2015
Talkin' Bout A Revolution;Contemporary folk music;119;161;-11.2;851983;22-08-2005;;;;;;;;Emin;2005
Africa;Soft rock;92;295;-19.7;856634;15-03-2008;;;;;;;;;2008
Lane Boy;Reggae;160;253;-9;862277;15-05-2015;Dubstep;Oldschool jungle;;;;;;;2015
George Michael:Careless Whisper;Post-grunge;152.56;302;-16.3;864601;13-11-2006;Smooth jazz;Alternative metal;Pop music;Blue-eyed soul;;;;Gbmin;2006
Careless Whisper;Post-grunge;152.56;302;-16.3;864601;13-11-2006;Smooth jazz;Alternative metal;Pop music;Blue-eyed soul;;;;Gbmin;2006
Habits (Stay High);Pop music;120;258;-9.3;864793;20-02-2015;Electropop;;;;;;;;2015
Red Red Wine;Reggae fusion;178;184;-11.3;865613;05-05-2008;Soft rock;Pop music;;;;;;;2008
Fast Car;Folk music;103;296;-20.3;866250;22-08-2005;Adult contemporary music;Pop music;;;;;;Gbmin;2005
Hold The Line;Hard rock;95.9;236;-16.2;866370;15-03-2008;Rock music;;;;;;;;2008
What You Know;Post-punk revival;138.7;189;-7.3;872522;26-02-2010;Indie rock;Dance-punk;;;;;;;2010
Alesso:Heroes (We Could Be);Progressive house;126;209;-7;879239;;;;;;;;;;
Stressed Out;Alternative hip hop;170;202;-8.3;891827;28-04-2015;;;;;;;;;2015
Yeah!;Crunk;104;250;-8.6;898549;09-01-2017;Hip hop music;;;;;;;;2017
Riptide;Indie folk;103.1;204;-9.4;966546;21-05-2013;Indie pop;;;;;;;;2013
Stay (Faraway So Close!);Alternative rock;94;299;;433463;31-10-2002;;;;;;;;;
